novel,condition,n_runs,mean_words,mean_segments,mean_turns,mean_utterances,mean_quote_count,mean_quote_density,mean_char_mentions,mean_char_density,mean_unique_characters,mean_char_entropy
mill_on_the_floss,embedding,8,9982.6,7.1,85.6,511.4,46.8,4.697,22.9,2.295,8.1,2.58
mill_on_the_floss,no_passages,8,9614.4,7.1,77.1,474.1,16.1,1.673,50.6,5.306,11.2,2.912
mill_on_the_floss,transport,8,8993.0,7.2,80.6,452.2,31.2,3.524,44.2,4.973,13.5,3.39
north_and_south,embedding,8,9479.9,7.0,81.2,504.9,45.9,4.834,33.1,3.528,10.8,2.997
north_and_south,no_passages,8,8885.2,7.1,73.6,452.9,8.0,0.901,40.4,4.533,11.0,3.095
north_and_south,transport,8,8577.5,7.2,77.9,450.1,35.1,4.117,37.2,4.371,11.5,3.149
our_mutual_friend,embedding,8,9263.0,7.1,77.5,461.2,44.6,4.83,56.4,6.112,19.6,3.823
our_mutual_friend,no_passages,8,9572.4,7.0,76.6,471.8,9.2,0.97,116.4,12.158,26.9,4.234
our_mutual_friend,transport,8,9041.9,7.0,76.6,439.4,38.5,4.303,80.6,8.918,20.0,3.765
passage_to_india,embedding,8,9499.6,7.0,86.8,516.1,51.0,5.374,148.1,15.41,14.6,2.45
passage_to_india,no_passages,8,8806.2,7.2,75.1,457.4,12.8,1.467,154.4,17.573,16.6,2.676
passage_to_india,transport,8,7624.2,6.9,75.0,429.4,35.9,4.769,122.4,16.032,13.2,2.232
