novel,condition,panel_id,total_words,total_segments,total_turns,total_utterances,quote_count,quote_density,character_mentions,char_density,unique_characters,character_entropy,airtime_Caroline Woodcourt,airtime_Daniel Rosen,airtime_Edmund Leigh,airtime_Eleanor Hartley,airtime_James Blackstone,airtime_Oliver Trevelyan
bleak_house,emb,v01_baseline,10656,7,84,515,44,4.129,176,16.517,13,3.143,2726,0,0,3128,2887,0
bleak_house,emb,v02_more_jo,9193,7,75,475,39,4.242,182,19.798,13,3.012,2146,0,0,2550,2479,0
bleak_house,emb,v05_craft_v2,10788,6,94,550,40,3.708,214,19.837,13,3.183,2659,0,0,2800,2873,0
bleak_house,emb,v10_conservative,9900,6,99,545,44,4.444,183,18.485,11,2.949,2499,0,2395,2786,0,0
bleak_house,emb,v11_marxist,9849,7,75,501,45,4.569,150,15.23,13,3.066,2813,2430,0,0,2490,0
bleak_house,emb,v12_radical_panel,9760,6,87,495,41,4.201,225,23.053,17,3.372,2538,2579,2530,0,0,0
bleak_house,emb,v14_trevelyan_for_woodcourt,10561,7,83,529,45,4.261,210,19.884,13,3.016,0,0,0,2778,2797,2932
bleak_house,emb,v15_trevelyan_for_hartley,9896,7,93,526,51,5.154,216,21.827,16,3.109,2503,0,0,0,2624,2810
bleak_house,emb,v16_trevelyan_for_blackstone,12408,8,114,670,48,3.868,218,17.569,13,3.068,2565,0,0,3630,0,3516
bleak_house,emb,v17_trevelyan_edmund,10188,7,86,535,45,4.417,170,16.686,13,3.003,0,0,2868,2576,0,2820
bleak_house,emb,v18_trevelyan_rosen,9223,6,93,508,45,4.879,184,19.95,14,3.03,2102,2472,0,0,0,2564
bleak_house,emb,v19_all_swapped,10715,7,88,610,53,4.946,208,19.412,15,3.109,0,2907,2720,0,0,2914
bleak_house,emb,v21_hartley_blackstone_edmund,11495,7,92,560,50,4.35,195,16.964,12,3.119,0,0,2850,3302,3024,0
bleak_house,emb,v22_hartley_blackstone_rosen,9826,6,78,482,38,3.867,197,20.049,12,2.927,0,2384,0,3141,2397,0
bleak_house,emb,v23_hartley_woodcourt_rosen,11336,8,94,599,51,4.499,173,15.261,15,3.189,2430,3212,0,3330,0,0
bleak_house,emb,v24_hartley_edmund_rosen,9663,6,76,460,38,3.933,189,19.559,15,3.049,0,2619,2357,2544,0,0
bleak_house,emb,v25_hartley_rosen_trevelyan,10101,7,80,514,40,3.96,186,18.414,13,2.92,0,2706,0,2521,0,2759
bleak_house,emb,v26_blackstone_woodcourt_edmund,9366,6,72,507,35,3.737,203,21.674,13,3.188,2365,0,2331,0,2690,0
bleak_house,emb,v27_blackstone_edmund_rosen,11475,7,84,560,44,3.834,230,20.044,13,3.152,0,3173,3130,0,2877,0
bleak_house,emb,v28_blackstone_edmund_trevelyan,3341,2,26,195,22,6.585,59,17.659,9,2.158,0,0,898,0,803,996
bleak_house,emb,v29_blackstone_rosen_trevelyan,10072,7,86,529,42,4.17,182,18.07,14,3.194,0,2542,0,0,2391,3044
bleak_house,emb,v30_woodcourt_edmund_trevelyan,9327,7,76,503,55,5.897,181,19.406,14,2.941,2362,0,2850,0,0,2388
bleak_house,ext,v01_baseline,9552,7,82,498,45,4.711,233,24.393,17,3.645,2525,0,0,2417,2515,0
bleak_house,ext,v10_conservative,9587,7,92,506,50,5.215,208,21.696,15,3.553,2431,0,2459,2607,0,0
bleak_house,ext,v11_marxist,9309,7,82,508,46,4.941,215,23.096,15,3.515,2566,2595,0,0,2171,0
bleak_house,ext,v12_radical_panel,10210,7,84,520,52,5.093,212,20.764,16,3.574,2863,2678,2696,0,0,0
bleak_house,ext,v14_trevelyan_for_woodcourt,10581,7,91,516,46,4.347,249,23.533,15,3.484,0,0,0,2705,2884,2789
bleak_house,ext,v15_trevelyan_for_hartley,9472,7,81,497,49,5.173,179,18.898,15,3.608,2300,0,0,0,2447,2850
bleak_house,ext,v16_trevelyan_for_blackstone,9053,7,82,454,45,4.971,208,22.976,16,3.688,2059,0,0,2469,0,2556
bleak_house,ext,v17_trevelyan_edmund,8882,7,77,444,42,4.729,191,21.504,16,3.537,0,0,2280,2504,0,2209
bleak_house,ext,v18_trevelyan_rosen,7839,7,73,422,42,5.358,157,20.028,14,3.418,1914,2147,0,0,0,2207
bleak_house,ext,v19_all_swapped,9132,7,70,441,45,4.928,192,21.025,16,3.637,0,2422,2391,0,0,2509
bleak_house,ext,v21_hartley_blackstone_edmund,11097,7,96,542,46,4.145,240,21.627,18,3.562,0,0,2990,3050,2916,0
bleak_house,ext,v22_hartley_blackstone_rosen,10527,7,89,498,39,3.705,232,22.039,14,3.414,0,2709,0,2891,2660,0
bleak_house,ext,v23_hartley_woodcourt_rosen,10035,7,89,484,53,5.282,250,24.913,15,3.654,2811,2548,0,2525,0,0
