novel,condition,expert,mean_airtime,n_panels
mill_on_the_floss,embedding,Caroline Woodcourt,0.2019,8
mill_on_the_floss,embedding,Daniel Rosen,0.168,8
mill_on_the_floss,embedding,Edmund Leigh,0.1312,8
mill_on_the_floss,embedding,Eleanor Hartley,0.1768,8
mill_on_the_floss,embedding,James Blackstone,0.2396,8
mill_on_the_floss,embedding,Oliver Trevelyan,0.0826,8
mill_on_the_floss,no_passages,Caroline Woodcourt,0.2069,8
mill_on_the_floss,no_passages,Daniel Rosen,0.1635,8
mill_on_the_floss,no_passages,Edmund Leigh,0.124,8
mill_on_the_floss,no_passages,Eleanor Hartley,0.1795,8
mill_on_the_floss,no_passages,James Blackstone,0.235,8
mill_on_the_floss,no_passages,Oliver Trevelyan,0.0912,8
mill_on_the_floss,transport,Caroline Woodcourt,0.2029,8
mill_on_the_floss,transport,Daniel Rosen,0.1665,8
mill_on_the_floss,transport,Edmund Leigh,0.1323,8
mill_on_the_floss,transport,Eleanor Hartley,0.1802,8
mill_on_the_floss,transport,James Blackstone,0.2254,8
mill_on_the_floss,transport,Oliver Trevelyan,0.0928,8
north_and_south,embedding,Caroline Woodcourt,0.2005,8
north_and_south,embedding,Daniel Rosen,0.1729,8
north_and_south,embedding,Edmund Leigh,0.1281,8
north_and_south,embedding,Eleanor Hartley,0.1737,8
north_and_south,embedding,James Blackstone,0.2367,8
north_and_south,embedding,Oliver Trevelyan,0.0881,8
north_and_south,no_passages,Caroline Woodcourt,0.2137,8
north_and_south,no_passages,Daniel Rosen,0.1686,8
north_and_south,no_passages,Edmund Leigh,0.1211,8
north_and_south,no_passages,Eleanor Hartley,0.1769,8
north_and_south,no_passages,James Blackstone,0.2287,8
north_and_south,no_passages,Oliver Trevelyan,0.091,8
north_and_south,transport,Caroline Woodcourt,0.209,8
north_and_south,transport,Daniel Rosen,0.1727,8
north_and_south,transport,Edmund Leigh,0.1204,8
north_and_south,transport,Eleanor Hartley,0.184,8
north_and_south,transport,James Blackstone,0.2179,8
north_and_south,transport,Oliver Trevelyan,0.0961,8
our_mutual_friend,embedding,Caroline Woodcourt,0.2029,8
our_mutual_friend,embedding,Daniel Rosen,0.1621,8
our_mutual_friend,embedding,Edmund Leigh,0.1221,8
our_mutual_friend,embedding,Eleanor Hartley,0.1743,8
our_mutual_friend,embedding,James Blackstone,0.2467,8
our_mutual_friend,embedding,Oliver Trevelyan,0.0919,8
our_mutual_friend,no_passages,Caroline Woodcourt,0.2036,8
our_mutual_friend,no_passages,Daniel Rosen,0.1721,8
our_mutual_friend,no_passages,Edmund Leigh,0.1211,8
our_mutual_friend,no_passages,Eleanor Hartley,0.1809,8
our_mutual_friend,no_passages,James Blackstone,0.2283,8
our_mutual_friend,no_passages,Oliver Trevelyan,0.0939,8
our_mutual_friend,transport,Caroline Woodcourt,0.2006,8
our_mutual_friend,transport,Daniel Rosen,0.1671,8
our_mutual_friend,transport,Edmund Leigh,0.1186,8
our_mutual_friend,transport,Eleanor Hartley,0.1761,8
our_mutual_friend,transport,James Blackstone,0.2415,8
our_mutual_friend,transport,Oliver Trevelyan,0.096,8
passage_to_india,embedding,Caroline Woodcourt,0.2076,8
passage_to_india,embedding,Daniel Rosen,0.1601,8
passage_to_india,embedding,Edmund Leigh,0.1232,8
passage_to_india,embedding,Eleanor Hartley,0.1737,8
passage_to_india,embedding,James Blackstone,0.2448,8
passage_to_india,embedding,Oliver Trevelyan,0.0905,8
passage_to_india,no_passages,Caroline Woodcourt,0.2053,8
passage_to_india,no_passages,Daniel Rosen,0.1632,8
passage_to_india,no_passages,Edmund Leigh,0.1273,8
passage_to_india,no_passages,Eleanor Hartley,0.1797,8
passage_to_india,no_passages,James Blackstone,0.2317,8
passage_to_india,no_passages,Oliver Trevelyan,0.0928,8
passage_to_india,transport,Caroline Woodcourt,0.1943,8
passage_to_india,transport,Daniel Rosen,0.1715,8
passage_to_india,transport,Edmund Leigh,0.1257,8
passage_to_india,transport,Eleanor Hartley,0.1833,8
passage_to_india,transport,James Blackstone,0.2357,8
passage_to_india,transport,Oliver Trevelyan,0.0894,8
