expert,rank,keyword,mean_tfidf
Caroline Woodcourt,1,forster,0.1763
Caroline Woodcourt,2,margaret,0.1497
Caroline Woodcourt,3,eliot,0.1468
Caroline Woodcourt,4,maggie,0.1464
Caroline Woodcourt,5,novel,0.1425
Caroline Woodcourt,6,gaskell,0.1419
Caroline Woodcourt,7,dickens,0.1226
Caroline Woodcourt,8,aziz,0.0962
Caroline Woodcourt,9,boffin,0.0864
Caroline Woodcourt,10,thornton,0.0851
Daniel Rosen,1,novel,0.1893
Daniel Rosen,2,dickens,0.1643
Daniel Rosen,3,forster,0.1635
Daniel Rosen,4,gaskell,0.147
Daniel Rosen,5,eliot,0.1377
Daniel Rosen,6,maggie,0.1278
Daniel Rosen,7,aziz,0.1118
Daniel Rosen,8,margaret,0.1079
Daniel Rosen,9,thornton,0.1061
Daniel Rosen,10,fielding,0.088
Edmund Leigh,1,forster,0.1996
Edmund Leigh,2,moral,0.1824
Edmund Leigh,3,gaskell,0.1692
Edmund Leigh,4,eliot,0.169
Edmund Leigh,5,novel,0.1543
Edmund Leigh,6,dickens,0.1318
Edmund Leigh,7,think,0.1127
Edmund Leigh,8,margaret,0.1118
Edmund Leigh,9,maggie,0.1085
Edmund Leigh,10,man,0.1049
Eleanor Hartley,1,forster,0.1943
Eleanor Hartley,2,gaskell,0.1735
Eleanor Hartley,3,dickens,0.1705
Eleanor Hartley,4,eliot,0.1502
Eleanor Hartley,5,novel,0.1483
Eleanor Hartley,6,maggie,0.1461
Eleanor Hartley,7,margaret,0.1384
Eleanor Hartley,8,aziz,0.0759
Eleanor Hartley,9,fielding,0.0747
Eleanor Hartley,10,thornton,0.0692
James Blackstone,1,forster,0.1685
James Blackstone,2,gaskell,0.1557
James Blackstone,3,eliot,0.144
James Blackstone,4,novel,0.1391
James Blackstone,5,dickens,0.1216
James Blackstone,6,maggie,0.1134
James Blackstone,7,social,0.1066
James Blackstone,8,margaret,0.1023
James Blackstone,9,thornton,0.0952
James Blackstone,10,tulliver,0.0871
Oliver Trevelyan,1,forster,0.196
Oliver Trevelyan,2,gaskell,0.1684
Oliver Trevelyan,3,dickens,0.1664
Oliver Trevelyan,4,eliot,0.1539
Oliver Trevelyan,5,novel,0.1216
Oliver Trevelyan,6,maggie,0.1149
Oliver Trevelyan,7,margaret,0.1026
Oliver Trevelyan,8,thornton,0.0889
Oliver Trevelyan,9,tom,0.0845
Oliver Trevelyan,10,man,0.0775
