expert,novel,sentence_type,count,proportion
Caroline Woodcourt,mill_on_the_floss,analysis,1317,0.6713
Caroline Woodcourt,mill_on_the_floss,closing,8,0.0041
Caroline Woodcourt,mill_on_the_floss,intro,5,0.0025
Caroline Woodcourt,mill_on_the_floss,punchline,206,0.105
Caroline Woodcourt,mill_on_the_floss,question,10,0.0051
Caroline Woodcourt,mill_on_the_floss,quote_reading,193,0.0984
Caroline Woodcourt,mill_on_the_floss,quote_setup,175,0.0892
Caroline Woodcourt,mill_on_the_floss,transition,48,0.0245
Caroline Woodcourt,north_and_south,analysis,1340,0.6795
Caroline Woodcourt,north_and_south,closing,3,0.0015
Caroline Woodcourt,north_and_south,intro,5,0.0025
Caroline Woodcourt,north_and_south,punchline,206,0.1045
Caroline Woodcourt,north_and_south,question,5,0.0025
Caroline Woodcourt,north_and_south,quote_reading,191,0.0969
Caroline Woodcourt,north_and_south,quote_setup,178,0.0903
Caroline Woodcourt,north_and_south,transition,44,0.0223
Caroline Woodcourt,our_mutual_friend,analysis,1285,0.7037
Caroline Woodcourt,our_mutual_friend,closing,3,0.0016
Caroline Woodcourt,our_mutual_friend,intro,7,0.0038
Caroline Woodcourt,our_mutual_friend,punchline,157,0.086
Caroline Woodcourt,our_mutual_friend,question,5,0.0027
Caroline Woodcourt,our_mutual_friend,quote_reading,169,0.0926
Caroline Woodcourt,our_mutual_friend,quote_setup,158,0.0865
Caroline Woodcourt,our_mutual_friend,transition,42,0.023
Caroline Woodcourt,passage_to_india,analysis,1351,0.6925
Caroline Woodcourt,passage_to_india,closing,8,0.0041
Caroline Woodcourt,passage_to_india,intro,9,0.0046
Caroline Woodcourt,passage_to_india,punchline,189,0.0969
Caroline Woodcourt,passage_to_india,question,10,0.0051
Caroline Woodcourt,passage_to_india,quote_reading,185,0.0948
Caroline Woodcourt,passage_to_india,quote_setup,158,0.081
Caroline Woodcourt,passage_to_india,transition,41,0.021
Daniel Rosen,mill_on_the_floss,analysis,1110,0.718
Daniel Rosen,mill_on_the_floss,closing,4,0.0026
Daniel Rosen,mill_on_the_floss,punchline,188,0.1216
Daniel Rosen,mill_on_the_floss,question,11,0.0071
Daniel Rosen,mill_on_the_floss,quote_reading,109,0.0705
Daniel Rosen,mill_on_the_floss,quote_setup,102,0.066
Daniel Rosen,mill_on_the_floss,transition,22,0.0142
Daniel Rosen,north_and_south,analysis,1119,0.7109
Daniel Rosen,north_and_south,intro,4,0.0025
Daniel Rosen,north_and_south,punchline,210,0.1334
Daniel Rosen,north_and_south,question,5,0.0032
Daniel Rosen,north_and_south,quote_reading,105,0.0667
Daniel Rosen,north_and_south,quote_setup,101,0.0642
Daniel Rosen,north_and_south,transition,30,0.0191
Daniel Rosen,our_mutual_friend,analysis,1080,0.7243
Daniel Rosen,our_mutual_friend,closing,2,0.0013
Daniel Rosen,our_mutual_friend,intro,1,0.0007
Daniel Rosen,our_mutual_friend,punchline,173,0.116
Daniel Rosen,our_mutual_friend,question,3,0.002
Daniel Rosen,our_mutual_friend,quote_reading,110,0.0738
Daniel Rosen,our_mutual_friend,quote_setup,93,0.0624
Daniel Rosen,our_mutual_friend,transition,29,0.0195
Daniel Rosen,passage_to_india,analysis,1057,0.6936
Daniel Rosen,passage_to_india,closing,4,0.0026
Daniel Rosen,passage_to_india,intro,2,0.0013
Daniel Rosen,passage_to_india,punchline,216,0.1417
Daniel Rosen,passage_to_india,question,2,0.0013
Daniel Rosen,passage_to_india,quote_reading,123,0.0807
Daniel Rosen,passage_to_india,quote_setup,98,0.0643
Daniel Rosen,passage_to_india,transition,22,0.0144
Edmund Leigh,mill_on_the_floss,analysis,865,0.7324
Edmund Leigh,mill_on_the_floss,closing,4,0.0034
Edmund Leigh,mill_on_the_floss,intro,3,0.0025
Edmund Leigh,mill_on_the_floss,punchline,120,0.1016
Edmund Leigh,mill_on_the_floss,question,4,0.0034
Edmund Leigh,mill_on_the_floss,quote_reading,91,0.0771
Edmund Leigh,mill_on_the_floss,quote_setup,85,0.072
Edmund Leigh,mill_on_the_floss,transition,9,0.0076
Edmund Leigh,north_and_south,analysis,855,0.7448
Edmund Leigh,north_and_south,intro,2,0.0017
Edmund Leigh,north_and_south,punchline,129,0.1124
Edmund Leigh,north_and_south,question,2,0.0017
Edmund Leigh,north_and_south,quote_reading,74,0.0645
Edmund Leigh,north_and_south,quote_setup,63,0.0549
Edmund Leigh,north_and_south,transition,23,0.02
Edmund Leigh,our_mutual_friend,analysis,808,0.7379
Edmund Leigh,our_mutual_friend,closing,1,0.0009
Edmund Leigh,our_mutual_friend,intro,1,0.0009
Edmund Leigh,our_mutual_friend,punchline,121,0.1105
Edmund Leigh,our_mutual_friend,question,4,0.0037
Edmund Leigh,our_mutual_friend,quote_reading,75,0.0685
Edmund Leigh,our_mutual_friend,quote_setup,66,0.0603
Edmund Leigh,our_mutual_friend,transition,19,0.0174
Edmund Leigh,passage_to_india,analysis,786,0.7107
Edmund Leigh,passage_to_india,intro,6,0.0054
Edmund Leigh,passage_to_india,punchline,122,0.1103
Edmund Leigh,passage_to_india,question,6,0.0054
Edmund Leigh,passage_to_india,quote_reading,88,0.0796
Edmund Leigh,passage_to_india,quote_setup,74,0.0669
Edmund Leigh,passage_to_india,transition,24,0.0217
Eleanor Hartley,mill_on_the_floss,analysis,1205,0.6933
Eleanor Hartley,mill_on_the_floss,intro,2,0.0012
Eleanor Hartley,mill_on_the_floss,punchline,201,0.1157
Eleanor Hartley,mill_on_the_floss,question,6,0.0035
Eleanor Hartley,mill_on_the_floss,quote_reading,152,0.0875
Eleanor Hartley,mill_on_the_floss,quote_setup,148,0.0852
Eleanor Hartley,mill_on_the_floss,transition,24,0.0138
Eleanor Hartley,north_and_south,analysis,1154,0.6788
Eleanor Hartley,north_and_south,intro,5,0.0029
Eleanor Hartley,north_and_south,punchline,224,0.1318
Eleanor Hartley,north_and_south,question,10,0.0059
Eleanor Hartley,north_and_south,quote_reading,142,0.0835
Eleanor Hartley,north_and_south,quote_setup,131,0.0771
Eleanor Hartley,north_and_south,transition,34,0.02
Eleanor Hartley,our_mutual_friend,analysis,1114,0.7096
Eleanor Hartley,our_mutual_friend,intro,4,0.0025
Eleanor Hartley,our_mutual_friend,punchline,153,0.0975
Eleanor Hartley,our_mutual_friend,question,6,0.0038
Eleanor Hartley,our_mutual_friend,quote_reading,144,0.0917
Eleanor Hartley,our_mutual_friend,quote_setup,131,0.0834
Eleanor Hartley,our_mutual_friend,transition,18,0.0115
Eleanor Hartley,passage_to_india,analysis,1137,0.6808
Eleanor Hartley,passage_to_india,closing,2,0.0012
Eleanor Hartley,passage_to_india,intro,1,0.0006
Eleanor Hartley,passage_to_india,punchline,188,0.1126
Eleanor Hartley,passage_to_india,question,4,0.0024
Eleanor Hartley,passage_to_india,quote_reading,166,0.0994
Eleanor Hartley,passage_to_india,quote_setup,140,0.0838
Eleanor Hartley,passage_to_india,transition,32,0.0192
James Blackstone,mill_on_the_floss,analysis,1552,0.7321
James Blackstone,mill_on_the_floss,closing,3,0.0014
James Blackstone,mill_on_the_floss,intro,2,0.0009
James Blackstone,mill_on_the_floss,punchline,280,0.1321
James Blackstone,mill_on_the_floss,question,7,0.0033
James Blackstone,mill_on_the_floss,quote_reading,131,0.0618
James Blackstone,mill_on_the_floss,quote_setup,113,0.0533
James Blackstone,mill_on_the_floss,transition,32,0.0151
James Blackstone,north_and_south,analysis,1477,0.7475
James Blackstone,north_and_south,intro,3,0.0015
James Blackstone,north_and_south,punchline,249,0.126
James Blackstone,north_and_south,question,10,0.0051
James Blackstone,north_and_south,quote_reading,106,0.0536
James Blackstone,north_and_south,quote_setup,92,0.0466
James Blackstone,north_and_south,transition,39,0.0197
James Blackstone,our_mutual_friend,analysis,1534,0.7347
James Blackstone,our_mutual_friend,closing,1,0.0005
James Blackstone,our_mutual_friend,punchline,243,0.1164
James Blackstone,our_mutual_friend,question,7,0.0034
James Blackstone,our_mutual_friend,quote_reading,146,0.0699
James Blackstone,our_mutual_friend,quote_setup,119,0.057
James Blackstone,our_mutual_friend,transition,38,0.0182
James Blackstone,passage_to_india,analysis,1512,0.7255
James Blackstone,passage_to_india,closing,5,0.0024
James Blackstone,passage_to_india,intro,1,0.0005
James Blackstone,passage_to_india,punchline,246,0.118
James Blackstone,passage_to_india,question,5,0.0024
James Blackstone,passage_to_india,quote_reading,148,0.071
James Blackstone,passage_to_india,quote_setup,125,0.06
James Blackstone,passage_to_india,transition,42,0.0202
Oliver Trevelyan,mill_on_the_floss,analysis,521,0.6385
Oliver Trevelyan,mill_on_the_floss,closing,6,0.0074
Oliver Trevelyan,mill_on_the_floss,intro,8,0.0098
Oliver Trevelyan,mill_on_the_floss,punchline,107,0.1311
Oliver Trevelyan,mill_on_the_floss,question,3,0.0037
Oliver Trevelyan,mill_on_the_floss,quote_reading,79,0.0968
Oliver Trevelyan,mill_on_the_floss,quote_setup,73,0.0895
Oliver Trevelyan,mill_on_the_floss,transition,19,0.0233
Oliver Trevelyan,north_and_south,analysis,525,0.6176
Oliver Trevelyan,north_and_south,intro,8,0.0094
Oliver Trevelyan,north_and_south,punchline,102,0.12
Oliver Trevelyan,north_and_south,question,7,0.0082
Oliver Trevelyan,north_and_south,quote_reading,96,0.1129
Oliver Trevelyan,north_and_south,quote_setup,88,0.1035
Oliver Trevelyan,north_and_south,transition,24,0.0282
Oliver Trevelyan,our_mutual_friend,analysis,524,0.6275
Oliver Trevelyan,our_mutual_friend,intro,6,0.0072
Oliver Trevelyan,our_mutual_friend,punchline,106,0.1269
Oliver Trevelyan,our_mutual_friend,question,2,0.0024
Oliver Trevelyan,our_mutual_friend,quote_reading,91,0.109
Oliver Trevelyan,our_mutual_friend,quote_setup,82,0.0982
Oliver Trevelyan,our_mutual_friend,transition,24,0.0287
Oliver Trevelyan,passage_to_india,analysis,496,0.6192
Oliver Trevelyan,passage_to_india,intro,2,0.0025
Oliver Trevelyan,passage_to_india,punchline,123,0.1536
Oliver Trevelyan,passage_to_india,question,4,0.005
Oliver Trevelyan,passage_to_india,quote_reading,85,0.1061
Oliver Trevelyan,passage_to_india,quote_setup,71,0.0886
Oliver Trevelyan,passage_to_india,transition,20,0.025
