novel,condition,panel,total_quotes,tagged_quotes,inline_quotes,verified_count,verification_rate,confabulation_count
mill_on_the_floss,embedding,v01_baseline,65,55,10,27,0.415,38
mill_on_the_floss,embedding,v11_rosen_blackstone_woodcourt,42,39,3,24,0.571,18
mill_on_the_floss,embedding,v21_hartley_blackstone_edmund,58,51,7,29,0.500,29
mill_on_the_floss,embedding,v22_hartley_blackstone_rosen,54,37,17,42,0.778,12
mill_on_the_floss,embedding,v23_hartley_rosen_woodcourt,48,46,2,25,0.521,23
mill_on_the_floss,embedding,v26_blackstone_woodcourt_edmund,52,47,5,29,0.558,23
mill_on_the_floss,embedding,v29_rosen_blackstone_trevelyan,44,36,8,27,0.614,17
mill_on_the_floss,embedding,v30_woodcourt_edmund_trevelyan,52,45,7,23,0.442,29
mill_on_the_floss,no_passages,v01_baseline,18,17,1,2,0.111,16
mill_on_the_floss,no_passages,v11_rosen_blackstone_woodcourt,12,12,0,0,0.000,12
mill_on_the_floss,no_passages,v21_hartley_blackstone_edmund,25,25,0,2,0.080,23
mill_on_the_floss,no_passages,v22_hartley_blackstone_rosen,16,16,0,1,0.062,15
mill_on_the_floss,no_passages,v23_hartley_rosen_woodcourt,15,15,0,1,0.067,14
mill_on_the_floss,no_passages,v26_blackstone_woodcourt_edmund,8,8,0,1,0.125,7
mill_on_the_floss,no_passages,v29_rosen_blackstone_trevelyan,17,16,1,2,0.118,15
mill_on_the_floss,no_passages,v30_woodcourt_edmund_trevelyan,16,16,0,3,0.188,13
mill_on_the_floss,transport,v01_baseline,41,37,4,25,0.610,16
mill_on_the_floss,transport,v11_rosen_blackstone_woodcourt,36,35,1,15,0.417,21
mill_on_the_floss,transport,v21_hartley_blackstone_edmund,33,28,5,21,0.636,12
mill_on_the_floss,transport,v22_hartley_blackstone_rosen,27,24,3,14,0.519,13
mill_on_the_floss,transport,v23_hartley_rosen_woodcourt,23,22,1,14,0.609,9
mill_on_the_floss,transport,v26_blackstone_woodcourt_edmund,32,29,3,17,0.531,15
mill_on_the_floss,transport,v29_rosen_blackstone_trevelyan,35,31,4,21,0.600,14
mill_on_the_floss,transport,v30_woodcourt_edmund_trevelyan,36,31,5,26,0.722,10
north_and_south,embedding,v01_baseline,40,40,0,26,0.650,14
north_and_south,embedding,v11_rosen_blackstone_woodcourt,48,46,2,35,0.729,13
north_and_south,embedding,v21_hartley_blackstone_edmund,44,39,5,24,0.545,20
north_and_south,embedding,v22_hartley_blackstone_rosen,39,37,2,20,0.513,19
north_and_south,embedding,v23_hartley_rosen_woodcourt,62,51,11,41,0.661,21
north_and_south,embedding,v26_blackstone_woodcourt_edmund,46,45,1,28,0.609,18
north_and_south,embedding,v29_rosen_blackstone_trevelyan,42,34,8,19,0.452,23
north_and_south,embedding,v30_woodcourt_edmund_trevelyan,67,62,5,36,0.537,31
north_and_south,no_passages,v01_baseline,9,9,0,0,0.000,9
north_and_south,no_passages,v11_rosen_blackstone_woodcourt,8,8,0,1,0.125,7
north_and_south,no_passages,v21_hartley_blackstone_edmund,11,11,0,0,0.000,11
north_and_south,no_passages,v22_hartley_blackstone_rosen,4,4,0,0,0.000,4
north_and_south,no_passages,v23_hartley_rosen_woodcourt,8,8,0,0,0.000,8
north_and_south,no_passages,v26_blackstone_woodcourt_edmund,8,8,0,0,0.000,8
north_and_south,no_passages,v29_rosen_blackstone_trevelyan,6,6,0,1,0.167,5
north_and_south,no_passages,v30_woodcourt_edmund_trevelyan,14,14,0,0,0.000,14
north_and_south,transport,v01_baseline,30,22,8,20,0.667,10
north_and_south,transport,v11_rosen_blackstone_woodcourt,31,31,0,24,0.774,7
north_and_south,transport,v21_hartley_blackstone_edmund,26,26,0,17,0.654,9
north_and_south,transport,v22_hartley_blackstone_rosen,42,35,7,30,0.714,12
north_and_south,transport,v23_hartley_rosen_woodcourt,31,30,1,18,0.581,13
north_and_south,transport,v26_blackstone_woodcourt_edmund,35,34,1,19,0.543,16
north_and_south,transport,v29_rosen_blackstone_trevelyan,43,43,0,32,0.744,11
north_and_south,transport,v30_woodcourt_edmund_trevelyan,40,34,6,25,0.625,15
our_mutual_friend,embedding,v01_baseline,61,48,13,40,0.656,21
our_mutual_friend,embedding,v11_rosen_blackstone_woodcourt,49,44,5,32,0.653,17
our_mutual_friend,embedding,v21_hartley_blackstone_edmund,51,51,0,25,0.490,26
our_mutual_friend,embedding,v22_hartley_blackstone_rosen,48,44,4,25,0.521,23
our_mutual_friend,embedding,v23_hartley_rosen_woodcourt,36,35,1,25,0.694,11
our_mutual_friend,embedding,v26_blackstone_woodcourt_edmund,45,45,0,31,0.689,14
our_mutual_friend,embedding,v29_rosen_blackstone_trevelyan,44,44,0,28,0.636,16
our_mutual_friend,embedding,v30_woodcourt_edmund_trevelyan,32,32,0,21,0.656,11
our_mutual_friend,no_passages,v01_baseline,17,16,1,0,0.000,17
our_mutual_friend,no_passages,v11_rosen_blackstone_woodcourt,3,3,0,0,0.000,3
our_mutual_friend,no_passages,v21_hartley_blackstone_edmund,9,9,0,0,0.000,9
our_mutual_friend,no_passages,v22_hartley_blackstone_rosen,5,5,0,0,0.000,5
our_mutual_friend,no_passages,v23_hartley_rosen_woodcourt,13,13,0,1,0.077,12
our_mutual_friend,no_passages,v26_blackstone_woodcourt_edmund,6,6,0,0,0.000,6
