panel_id,pipeline,total_words,total_quotes,char_density_per_1k,unique_chars,char_entropy
v01_baseline,transport,8730,43,19.36,14,3.326
v01_baseline,embedding,10656,44,15.48,10,2.916
v01_baseline,rag,9222,31,20.17,16,3.327
v01_baseline,no_passages,10133,40,28.72,14,3.090
v01_baseline,random,9744,34,25.86,21,3.985
v10_conservative,transport,7666,34,23.61,12,3.396
v10_conservative,embedding,9900,44,17.88,12,2.953
v10_conservative,rag,10891,34,27.55,18,3.565
v10_conservative,no_passages,10375,36,24.29,15,3.352
v10_conservative,random,8596,40,24.66,20,3.731
v11_marxist,transport,8865,44,23.80,15,3.551
v11_marxist,embedding,9849,45,13.00,12,3.127
v11_marxist,rag,8599,40,22.91,15,3.402
v11_marxist,no_passages,10087,41,27.06,17,3.330
v11_marxist,random,9451,34,22.11,20,3.850
v12_radical_panel,transport,9507,34,23.25,15,3.398
v12_radical_panel,embedding,9760,41,21.52,14,3.168
v12_radical_panel,rag,10225,39,28.26,16,3.412
v12_radical_panel,no_passages,11266,50,26.72,16,3.391
v12_radical_panel,random,9015,34,23.63,17,3.615
v14_trevelyan_for_woodcourt,transport,9755,46,20.60,14,3.427
v14_trevelyan_for_woodcourt,embedding,10561,45,18.94,10,2.863
v14_trevelyan_for_woodcourt,rag,10228,40,18.48,15,3.637
v14_trevelyan_for_woodcourt,no_passages,12122,46,24.25,16,3.282
v14_trevelyan_for_woodcourt,random,9633,35,22.84,18,3.729
v15_trevelyan_for_hartley,transport,9069,46,21.61,13,3.248
v15_trevelyan_for_hartley,embedding,9896,51,21.12,12,2.869
v15_trevelyan_for_hartley,rag,9900,45,22.42,15,3.438
v15_trevelyan_for_hartley,no_passages,7980,27,23.06,16,3.418
v15_trevelyan_for_hartley,random,7012,33,20.11,16,3.684
v16_trevelyan_for_blackstone,transport,7980,40,24.44,14,3.413
v16_trevelyan_for_blackstone,embedding,12408,48,15.88,11,2.866
v16_trevelyan_for_blackstone,rag,8676,43,22.36,17,3.448
v16_trevelyan_for_blackstone,no_passages,9165,38,23.57,17,3.445
v16_trevelyan_for_blackstone,random,7219,30,22.99,18,3.539
v17_trevelyan_edmund,transport,9233,39,24.80,16,3.476
v17_trevelyan_edmund,embedding,10188,45,16.10,11,2.981
v17_trevelyan_edmund,rag,9281,37,26.51,19,3.626
v17_trevelyan_edmund,no_passages,12008,38,25.48,15,3.235
v17_trevelyan_edmund,random,8711,44,20.78,18,3.867
v18_trevelyan_rosen,transport,8567,41,25.10,14,3.529
v18_trevelyan_rosen,embedding,9223,45,19.19,13,2.960
v18_trevelyan_rosen,rag,8582,34,23.65,17,3.548
v18_trevelyan_rosen,no_passages,11849,55,25.15,19,3.528
v18_trevelyan_rosen,random,7964,26,19.09,20,3.974
v19_all_swapped,transport,9472,45,20.69,13,3.322
v19_all_swapped,embedding,10715,53,17.83,13,2.973
v19_all_swapped,rag,9659,36,25.26,15,3.472
v19_all_swapped,no_passages,10259,39,21.93,17,3.512
v19_all_swapped,random,6630,29,25.19,17,3.565
v21_hartley_blackstone_edmund,transport,11209,39,22.75,16,3.532
v21_hartley_blackstone_edmund,embedding,11495,50,16.27,11,3.019
v21_hartley_blackstone_edmund,rag,7932,33,22.31,17,3.491
v21_hartley_blackstone_edmund,no_passages,10528,45,25.46,14,3.175
v21_hartley_blackstone_edmund,random,9695,34,19.39,17,3.656
v22_hartley_blackstone_rosen,transport,9407,33,20.73,14,3.388
v22_hartley_blackstone_rosen,embedding,9826,38,19.23,10,2.804
v22_hartley_blackstone_rosen,rag,10623,41,20.43,17,3.528
v22_hartley_blackstone_rosen,no_passages,11468,37,24.68,16,3.280
v22_hartley_blackstone_rosen,random,8256,33,23.98,19,3.674
v23_hartley_woodcourt_rosen,transport,7158,32,23.61,13,3.272
v23_hartley_woodcourt_rosen,embedding,11336,51,13.76,13,3.077
v23_hartley_woodcourt_rosen,rag,8192,34,23.68,16,3.249
v23_hartley_woodcourt_rosen,no_passages,9904,40,28.27,18,3.350
v23_hartley_woodcourt_rosen,random,8144,34,24.07,19,3.764
v24_hartley_edmund_rosen,transport,9410,33,24.97,13,3.328
v24_hartley_edmund_rosen,embedding,9663,38,18.52,12,2.894
v24_hartley_edmund_rosen,rag,9969,40,24.07,19,3.568
v24_hartley_edmund_rosen,no_passages,10538,37,20.12,13,3.045
v24_hartley_edmund_rosen,random,10540,35,23.15,20,3.791
v25_hartley_rosen_trevelyan,transport,10640,40,21.62,18,3.668
v25_hartley_rosen_trevelyan,embedding,10101,40,17.03,12,2.918
v25_hartley_rosen_trevelyan,rag,9392,41,20.34,21,3.769
v25_hartley_rosen_trevelyan,no_passages,11084,40,23.46,19,3.241
v25_hartley_rosen_trevelyan,random,8536,34,16.17,19,3.302
v26_blackstone_woodcourt_edmund,transport,9149,46,20.11,13,3.362
v26_blackstone_woodcourt_edmund,embedding,9366,35,20.50,11,3.018
v26_blackstone_woodcourt_edmund,rag,8366,29,23.43,13,3.347
v26_blackstone_woodcourt_edmund,no_passages,10212,37,23.01,12,3.103
v26_blackstone_woodcourt_edmund,random,8486,36,18.38,16,3.698
v27_blackstone_edmund_rosen,transport,10175,44,21.33,16,3.490
v27_blackstone_edmund_rosen,embedding,11475,44,17.60,12,2.941
v27_blackstone_edmund_rosen,rag,10136,38,20.82,14,3.379
v27_blackstone_edmund_rosen,no_passages,10167,41,19.77,14,3.123
v27_blackstone_edmund_rosen,random,8746,31,21.50,17,3.623
v28_blackstone_edmund_trevelyan,transport,10484,44,19.55,16,3.633
v28_blackstone_edmund_trevelyan,embedding,3341,22,16.76,8,1.868
v28_blackstone_edmund_trevelyan,rag,10898,45,22.02,15,3.538
v28_blackstone_edmund_trevelyan,no_passages,12009,47,17.82,19,3.230
v28_blackstone_edmund_trevelyan,random,8360,33,20.69,21,3.780
v29_blackstone_rosen_trevelyan,transport,9530,43,21.83,15,3.356
v29_blackstone_rosen_trevelyan,embedding,10072,42,16.28,12,3.055
v29_blackstone_rosen_trevelyan,rag,8230,38,18.71,14,3.357
v29_blackstone_rosen_trevelyan,no_passages,10903,52,22.20,18,3.406
v29_blackstone_rosen_trevelyan,random,8498,34,21.18,17,3.523
v30_woodcourt_edmund_trevelyan,transport,9340,49,22.59,15,3.532
v30_woodcourt_edmund_trevelyan,embedding,9327,55,18.98,12,2.830
v30_woodcourt_edmund_trevelyan,rag,9054,36,27.61,16,3.564
v30_woodcourt_edmund_trevelyan,no_passages,9161,38,21.40,15,3.123
v30_woodcourt_edmund_trevelyan,random,8704,30,25.62,20,3.808
