run_id,pipeline,total_quotes,tagged,inline,verified,unverified,verification_rate
emb_v01_baseline,embedding,56,44,12,49,7,0.875
emb_v02_more_jo,embedding,42,36,6,41,1,0.976
emb_v05_craft_v2,embedding,48,33,15,41,7,0.854
emb_v10_conservative,embedding,39,36,3,37,2,0.949
emb_v11_marxist,embedding,56,45,11,49,7,0.875
emb_v12_radical_panel,embedding,49,40,9,44,5,0.898
emb_v14_trevelyan_for_woodcourt,embedding,61,45,16,60,1,0.984
emb_v15_trevelyan_for_hartley,embedding,70,51,19,61,9,0.871
emb_v16_trevelyan_for_blackstone,embedding,66,48,18,58,8,0.879
emb_v17_trevelyan_edmund,embedding,50,45,5,44,6,0.880
emb_v18_trevelyan_rosen,embedding,67,44,23,62,5,0.925
emb_v19_all_swapped,embedding,69,52,17,59,10,0.855
emb_v21_hartley_blackstone_edmund,embedding,65,50,15,60,5,0.923
emb_v22_hartley_blackstone_rosen,embedding,47,38,9,44,3,0.936
emb_v23_hartley_woodcourt_rosen,embedding,63,51,12,53,10,0.841
emb_v24_hartley_edmund_rosen,embedding,53,38,15,46,7,0.868
emb_v25_hartley_rosen_trevelyan,embedding,75,39,36,66,9,0.880
emb_v26_blackstone_woodcourt_edmund,embedding,43,34,9,40,3,0.930
emb_v27_blackstone_edmund_rosen,embedding,49,44,5,45,4,0.918
emb_v28_blackstone_edmund_trevelyan,embedding,32,22,10,25,7,0.781
emb_v29_blackstone_rosen_trevelyan,embedding,61,41,20,52,9,0.852
emb_v30_woodcourt_edmund_trevelyan,embedding,69,54,15,61,8,0.884
ext_v01_baseline,extreme,54,45,9,44,10,0.815
ext_v10_conservative,extreme,49,41,8,43,6,0.878
ext_v11_marxist,extreme,40,37,3,36,4,0.900
ext_v12_radical_panel,extreme,57,50,7,51,6,0.895
ext_v14_trevelyan_for_woodcourt,extreme,60,45,15,54,6,0.900
ext_v15_trevelyan_for_hartley,extreme,37,34,3,35,2,0.946
ext_v16_trevelyan_for_blackstone,extreme,57,42,15,54,3,0.947
ext_v17_trevelyan_edmund,extreme,58,47,11,47,11,0.810
ext_v18_trevelyan_rosen,extreme,49,45,4,45,4,0.918
ext_v19_all_swapped,extreme,51,44,7,42,9,0.824
ext_v21_hartley_blackstone_edmund,extreme,45,39,6,39,6,0.867
ext_v22_hartley_blackstone_rosen,extreme,50,39,11,44,6,0.880
ext_v23_hartley_woodcourt_rosen,extreme,36,34,2,33,3,0.917
ext_v24_hartley_edmund_rosen,extreme,46,35,11,37,9,0.804
ext_v25_hartley_rosen_trevelyan,extreme,51,37,14,45,6,0.882
ext_v26_blackstone_woodcourt_edmund,extreme,46,44,2,34,12,0.739
ext_v27_blackstone_edmund_rosen,extreme,43,38,5,38,5,0.884
arc_v01_baseline,high_arc,42,35,7,40,2,0.952
arc_v10_conservative,high_arc,50,42,8,44,6,0.880
arc_v11_marxist,high_arc,48,41,7,43,5,0.896
arc_v12_radical_panel,high_arc,57,46,11,47,10,0.825
arc_v14_trevelyan_for_woodcourt,high_arc,36,35,1,32,4,0.889
arc_v15_trevelyan_for_hartley,high_arc,49,39,10,42,7,0.857
arc_v16_trevelyan_for_blackstone,high_arc,49,46,3,45,4,0.918
arc_v17_trevelyan_edmund,high_arc,54,46,8,44,10,0.815
arc_v18_trevelyan_rosen,high_arc,55,48,7,46,9,0.836
arc_v19_all_swapped,high_arc,44,35,9,39,5,0.886
arc_v21_hartley_blackstone_edmund,high_arc,64,56,8,58,6,0.906
arc_v22_hartley_blackstone_rosen,high_arc,40,40,0,34,6,0.850
arc_v23_hartley_woodcourt_rosen,high_arc,47,40,7,42,5,0.894
arc_v24_hartley_edmund_rosen,high_arc,45,37,8,36,9,0.800
arc_v25_hartley_rosen_trevelyan,high_arc,61,40,21,57,4,0.934
arc_v26_blackstone_woodcourt_edmund,high_arc,44,41,3,39,5,0.886
arc_v27_blackstone_edmund_rosen,high_arc,43,41,2,33,10,0.767
arc_v28_blackstone_edmund_trevelyan,high_arc,51,42,9,43,8,0.843
arc_v29_blackstone_rosen_trevelyan,high_arc,45,39,6,39,6,0.867
arc_v30_woodcourt_edmund_trevelyan,high_arc,56,48,8,47,9,0.839
nop_v01_baseline,no_passages,41,37,4,21,20,0.512
nop_v10_conservative,no_passages,37,36,1,11,26,0.297
nop_v11_marxist,no_passages,40,40,0,12,28,0.300
nop_v12_radical_panel,no_passages,49,48,1,16,33,0.327
nop_v14_trevelyan_for_woodcourt,no_passages,40,38,2,16,24,0.400
nop_v15_trevelyan_for_hartley,no_passages,27,27,0,5,22,0.185
nop_v16_trevelyan_for_blackstone,no_passages,40,35,5,16,24,0.400
nop_v17_trevelyan_edmund,no_passages,37,37,0,13,24,0.351
nop_v18_trevelyan_rosen,no_passages,51,50,1,18,33,0.353
nop_v19_all_swapped,no_passages,41,39,2,16,25,0.390
nop_v21_hartley_blackstone_edmund,no_passages,42,42,0,20,22,0.476
nop_v22_hartley_blackstone_rosen,no_passages,35,35,0,13,22,0.371
nop_v23_hartley_woodcourt_rosen,no_passages,39,37,2,12,27,0.308
nop_v24_hartley_edmund_rosen,no_passages,37,35,2,17,20,0.459
nop_v25_hartley_rosen_trevelyan,no_passages,37,36,1,14,23,0.378
nop_v26_blackstone_woodcourt_edmund,no_passages,38,36,2,18,20,0.474
nop_v27_blackstone_edmund_rosen,no_passages,39,38,1,16,23,0.410
nop_v28_blackstone_edmund_trevelyan,no_passages,43,42,1,20,23,0.465
nop_v29_blackstone_rosen_trevelyan,no_passages,53,50,3,20,33,0.377
nop_v30_woodcourt_edmund_trevelyan,no_passages,39,37,2,15,24,0.385
rag_v01_baseline,rag,36,31,5,30,6,0.833
rag_v10_conservative,rag,35,33,2,24,11,0.686
rag_v11_marxist,rag,52,39,13,42,10,0.808
rag_v12_radical_panel,rag,60,38,22,44,16,0.733
rag_v14_trevelyan_for_woodcourt,rag,53,40,13,41,12,0.774
rag_v15_trevelyan_for_hartley,rag,55,44,11,44,11,0.800
rag_v16_trevelyan_for_blackstone,rag,50,43,7,41,9,0.820
rag_v17_trevelyan_edmund,rag,43,37,6,35,8,0.814
rag_v18_trevelyan_rosen,rag,41,34,7,35,6,0.854
rag_v19_all_swapped,rag,48,37,11,40,8,0.833
rag_v21_hartley_blackstone_edmund,rag,41,33,8,29,12,0.707
rag_v22_hartley_blackstone_rosen,rag,49,40,9,36,13,0.735
rag_v23_hartley_woodcourt_rosen,rag,40,34,6,31,9,0.775
rag_v24_hartley_edmund_rosen,rag,49,38,11,44,5,0.898
rag_v25_hartley_rosen_trevelyan,rag,45,40,5,41,4,0.911
rag_v26_blackstone_woodcourt_edmund,rag,34,29,5,29,5,0.853
rag_v27_blackstone_edmund_rosen,rag,40,38,2,30,10,0.750
rag_v28_blackstone_edmund_trevelyan,rag,42,42,0,33,9,0.786
rag_v29_blackstone_rosen_trevelyan,rag,45,38,7,38,7,0.844
rag_v30_woodcourt_edmund_trevelyan,rag,40,36,4,35,5,0.875
rand_v01_baseline,random,34,29,5,30,4,0.882
rand_v10_conservative,random,39,33,6,29,10,0.744
rand_v11_marxist,random,39,33,6,37,2,0.949
rand_v12_radical_panel,random,31,26,5,26,5,0.839
rand_v14_trevelyan_for_woodcourt,random,41,31,10,36,5,0.878
rand_v15_trevelyan_for_hartley,random,32,30,2,25,7,0.781
rand_v16_trevelyan_for_blackstone,random,41,29,12,34,7,0.829
